start_port,update_dt,datadate,destination_date,ship_name,source,amount,destination_port,quality
新加坡,2018-06-06 10:12:28,2018-05-24,5月1日,福宁湾,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,东莞,ESSO
韩国,2018-06-06 10:12:34,2018-05-24,5月2日,韩宇维多利亚,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,杭州,SK
韩国,2018-06-06 10:12:35,2018-05-24,5月2日,JS岚山,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,岚山,HDO
韩国,2018-06-06 10:12:35,2018-05-24,5月2日,金百合,http://www.baiinfo.com.cn/Orders/News/109/16058139,5300,镇江,GS
新加坡,2018-06-06 10:12:38,2018-05-24,5月2日,阿尔卑斯,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,天津,SHELL
新加坡,2018-06-06 10:12:38,2018-05-24,5月5日,平海湾,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,岚山,ESSO
韩国,2018-06-06 10:12:38,2018-05-24,5月5日,JS昂山,http://www.baiinfo.com.cn/Orders/News/109/16058139,5100,江阴,GS
韩国,2018-06-06 10:12:38,2018-05-24,5月5日,珍妮西亚6,http://www.baiinfo.com.cn/Orders/News/109/16058139,4800,岚山,S-OIL
韩国,2018-06-06 10:12:38,2018-05-24,5月6日,JS南通,http://www.baiinfo.com.cn/Orders/News/109/16058139,4000,/,HDO
韩国,2018-06-06 10:12:38,2018-05-24,5月6日,韩宇环球,http://www.baiinfo.com.cn/Orders/News/109/16058139,5400,宁波,SK
韩国,2018-06-06 10:12:38,2018-05-24,5月6日,象山5,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,马尾,GS
韩国,2018-06-06 10:12:38,2018-05-24,5月7日,台海2,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,镇江,SK
韩国,2018-06-06 10:12:38,2018-05-24,5月7日,JS丽水,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,岚山,GS
韩国,2018-06-06 10:12:38,2018-05-24,5月7日,大鹏湾,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,江阴,GS
新加坡,2018-06-06 10:12:38,2018-05-24,5月7日,兰花星,http://www.baiinfo.com.cn/Orders/News/109/16058139,7000,乍浦,SRC
马来西亚,2018-06-06 10:12:38,2018-05-24,5月8日,大衡山,http://www.baiinfo.com.cn/Orders/News/109/16058139,5500,东莞,KBC
新加坡,2018-06-06 10:12:38,2018-05-24,5月8日,黑玉,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,岚山,/
新加坡,2018-06-06 10:12:38,2018-05-24,5月8日,星海湾,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,天津,SHELL
韩国,2018-06-06 10:12:38,2018-05-24,5月8日,黑珍珠,http://www.baiinfo.com.cn/Orders/News/109/16058139,5200,天津,SK
韩国,2018-06-06 10:12:38,2018-05-24,5月9日,安海湾,http://www.baiinfo.com.cn/Orders/News/109/16058139,5000,江阴,GS
韩国,2018-06-06 10:12:38,2018-05-24,5月9日,黑首领,http://www.baiinfo.com.cn/Orders/News/109/16058139,4000,南京,SK
韩国,2018-06-06 10:12:38,2018-05-24,5月10日,康和,http://www.baiinfo.com.cn/Orders/News/109/16058139,5700,天津,SK
韩国,2018-06-06 10:12:38,2018-05-24,5月10日,华宏,http://www.baiinfo.com.cn/Orders/News/109/16058139,4000,宁波,SK
韩国,2018-06-06 10:12:38,2018-05-24,5月10日,黑玉,http://www.baiinfo.com.cn/Orders/News/109/16058139,5500,唐山,SK
韩国,2018-06-06 10:12:38,2018-05-24,5月11日,BD 51,http://www.baiinfo.com.cn/Orders/News/109/16058139,5300,/,GS
新加坡,2018-06-06 10:12:38,2018-05-24,5月11日,三都澳,http://www.baiinfo.com.cn/Orders/News/109/16058139,10000,钦州,/
韩国,2018-06-06 10:12:38,2018-05-24,5月11日,金富星9,http://www.baiinfo.com.cn/Orders/News/109/16058139,4000,岚山,SK
